--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
V6:249.63,I6:1.515,AP6:378.2,RP6:-1.4,PF6:-0.003599,Joules6:-310.641,Clip6:0,cycles6:123,samples6:8000,
V7:249.63,I7:1.420,AP7:354.5,RP7:-14.5,PF7:-0.040831,Joules7:-422.492,Clip7:0,cycles7:123,samples7:8000,
V8:249.63,I8:1.414,AP8:353.0,RP8:-13.2,PF8:-0.037502,Joules8:-348.885,Clip8:0,cycles8:123,samples8:8000,
V9:249.64,I9:1.364,AP9:340.5,RP9:-4.0,PF9:-0.011811,Joules9:-243.128,Clip9:0,cycles9:123,samples9:7999,
Hz_estimate:50.1,millis:37518,PC:0,buffOverrun:0

V1:249.88,I1:1.503,AP1:375.5,RP1:-17.1,PF1:-0.045646,Joules1:-749.159,Clip1:0,cycles1:130,samples1:8454,
V2:249.88,I2:1.496,AP2:373.8,RP2:-19.2,PF2:-0.051263,Joules2:-703.547,Clip2:0,cycles2:130,samples2:8454,
V3:249.88,I3:1.450,AP3:362.2,RP3:-18.1,PF3:-0.050026,Joules3:-607.679,Clip3:0,cycles3:130,samples3:8454,
V4:249.88,I4:1.522,AP4:380.4,RP4:-13.4,PF4:-0.035102,Joules4:-600.595,Clip4:0,cycles4:130,samples4:8454,
V5:249.88,I5:1.452,AP5:362.7,RP5:-12.8,PF5:-0.035225,Joules5:-563.372,Clip5:0,cycles5:130,samples5:8454,
V6:249.88,I6:1.546,AP6:386.4,RP6:-2.0,PF6:-0.005179,Joules6:-315.643,Clip6:0,cycles6:130,samples6:8454,
V7:249.89,I7:1.398,AP7:349.4,RP7:-10.9,PF7:-0.031120,Joules7:-449.678,Clip7:0,cycles7:130,samples7:8453,
V8:249.89,I8:1.430,AP8:357.4,RP8:-6.6,PF8:-0.018488,Joules8:-365.406,Clip8:0,cycles8:130,samples8:8453,
V9:249.88,I9:1.368,AP9:341.9,RP9:-3.9,PF9:-0.011292,Joules9:-252.781,Clip9:0,cycles9:130,samples9:8454,
Hz_estimate:50.1,millis:40128,PC:0,buffOverrun:0

V1:249.97,I1:1.534,AP1:383.4,RP1:-17.3,PF1:-0.044994,Joules1:-792.285,Clip1:0,cycles1:123,samples1:7998,
V2:249.97,I2:1.467,AP2:366.7,RP2:-17.8,PF2:-0.048531,Joules2:-748.033,Clip2:0,cycles2:123,samples2:7998,
V3:249.97,I3:1.439,AP3:359.6,RP3:-18.7,PF3:-0.052032,Joules3:-654.459,Clip3:0,cycles3:123,samples3:7998,
V4:249.98,I4:1.517,AP4:379.2,RP4:-17.1,PF4:-0.045003,Joules4:-643.253,Clip4:0,cycles4:124,samples4:8062,
V5:249.98,I5:1.452,AP5:363.1,RP5:-16.7,PF5:-0.046110,Joules5:-605.224,Clip5:0,cycles5:124,samples5:8062,
V6:249.98,I6:1.546,AP6:386.4,RP6:-9.4,PF6:-0.024278,Joules6:-339.099,Clip6:0,cycles6:124,samples6:8062,
V7:249.97,I7:1.392,AP7:347.9,RP7:-10.4,PF7:-0.029809,Joules7:-475.601,Clip7:0,cycles7:124,samples7:8063,
V8:249.97,I8:1.413,AP8:353.1,RP8:-10.2,PF8:-0.028777,Joules8:-390.811,Clip8:0,cycles8:124,samples8:8063,
V9:249.97,I9:1.367,AP9:341.7,RP9:-10.3,PF9:-0.030012,Joules9:-278.422,Clip9:0,cycles9:124,samples9:8063,
Hz_estimate:50.1,millis:42584,PC:0,buffOverrun:0

V1:249.88,I1:1.514,AP1:378.2,RP1:-28.3,PF1:-0.074707,Joules1:-862.923,Clip1:0,cycles1:124,samples1:8062,
V2:249.88,I2:1.443,AP2:360.6,RP2:-18.1,PF2:-0.050315,Joules2:-793.397,Clip2:0,cycles2:124,samples2:8062,
V3:249.88,I3:1.430,AP3:357.4,RP3:-17.8,PF3:-0.049938,Joules3:-699.075,Clip3:0,cycles3:124,samples3:8062,
V4:249.87,I4:1.509,AP4:377.0,RP4:-16.9,PF4:-0.044828,Joules4:-685.501,Clip4:0,cycles4:123,samples4:7998,
V5:249.87,I5:1.467,AP5:366.6,RP5:-20.4,PF5:-0.055519,Joules5:-656.111,Clip5:0,cycles5:123,samples5:7998,
V6:249.87,I6:1.501,AP6:375.0,RP6:-13.0,PF6:-0.034648,Joules6:-371.581,Clip6:0,cycles6:123,samples6:7998,
V7:249.87,I7:1.404,AP7:350.8,RP7:-13.7,PF7:-0.039144,Joules7:-509.929,Clip7:0,cycles7:123,samples7:7998,
V8:249.89,I8:1.413,AP8:353.2,RP8:-10.4,PF8:-0.029527,Joules8:-416.884,Clip8:0,cycles8:123,samples8:7997,
V9:249.89,I9:1.366,AP9:341.3,RP9:-12.3,PF9:-0.035978,Joules9:-309.122,Clip9:0,cycles9:123,samples9:7997,
Hz_estimate:50.1,millis:45040,PC:0,buffOverrun:0

V1:249.75,I1:1.511,AP1:377.3,RP1:-15.5,PF1:-0.040992,Joules1:-901.587,Clip1:0,cycles1:130,samples1:8453,
V2:249.75,I2:1.486,AP2:371.2,RP2:-16.9,PF2:-0.045657,Joules2:-835.764,Clip2:0,cycles2:130,samples2:8453,
V3:249.75,I3:1.453,AP3:362.9,RP3:-18.0,PF3:-0.049613,Joules3:-744.092,Clip3:0,cycles3:130,samples3:8453,
V4:249.74,I4:1.525,AP4:380.9,RP4:-15.8,PF4:-0.041372,Joules4:-724.896,Clip4:0,cycles4:130,samples4:8453,
V5:249.75,I5:1.461,AP5:364.9,RP5:-17.4,PF5:-0.047692,Joules5:-699.614,Clip5:0,cycles5:130,samples5:8453,
V6:249.75,I6:1.528,AP6:381.7,RP6:-8.0,PF6:-0.021032,Joules6:-391.649,Clip6:0,cycles6:130,samples6:8453,
